NAME,EXPANDED NAME,COUNTYNAME,Agency,EXPANDED NAME,County
,,,KANKAKEE COMMUNITY COLLEGE PD,KANKAKEE COMMUNITY COLLEGE POLICE DEPARTMENT,KANKAKEE
,,,MILLIKIN UNIVERSITY PD,MILLIKIN UNIVERSITY POLICE DEPARTMENT,MACON
ABINGDON POLICE DEPT,ABINGDON POLICE DEPARTMENT,KNOX,,,
ABRAHAM LINCOLN CAPITAL AIPORT PUBLIC SAFETY,ABRAHAM LINCOLN CAPITAL AIPORT PUBLIC SAFETY,SANGAMON,CAPITAL AIRPORT PD,CAPITAL AIRPORT POLICE DEPARTMENT,SANGAMON
ADAMS COUNTY SHERIFF'S OFFICE,ADAMS COUNTY SHERIFF'S OFFICE,ADAMS,ADAMS CO SO,ADAMS COUNTY SHERIFFS OFFICE,ADAMS
ADDISON POLICE DEPT,ADDISON POLICE DEPARTMENT,DU PAGE,ADDISON PD,ADDISON POLICE DEPARTMENT,DUPAGE
ALBANY POLICE DEPT,ALBANY POLICE DEPARTMENT,WHITESIDE,ALBANY PD,ALBANY POLICE DEPARTMENT,WHITESIDE
ALBERS POLICE DEPT,ALBERS POLICE DEPARTMENT,CLINTON,ALBERS PD,ALBERS POLICE DEPARTMENT,CLINTON
ALBION POLICE DEPT,ALBION POLICE DEPARTMENT,EDWARDS,ALBION PD,ALBION POLICE DEPARTMENT,EDWARDS
ALEDO POLICE DEPT,ALEDO POLICE DEPARTMENT,MERCER,ALEDO PD,ALEDO POLICE DEPARTMENT,MERCER
ALEXANDER COUNTY SHERIFF'S OFFICE,ALEXANDER COUNTY SHERIFF'S OFFICE,ALEXANDER,ALEXANDER CO SO,ALEXANDER COUNTY SHERIFFS OFFICE,ALEXANDER
ALEXIS POLICE DEPT,ALEXIS POLICE DEPARTMENT,WARREN,ALEXIS PD (MCA),ALEXIS POLICE DEPARTMENT,MERCER
ALEXIS POLICE DEPT,ALEXIS POLICE DEPARTMENT,WARREN,ALEXIS PD (MCA),ALEXIS POLICE DEPARTMENT,WARREN
ALGONQUIN POLICE DEPT,ALGONQUIN POLICE DEPARTMENT,MCHENRY,ALGONQUIN PD (MCA),ALGONQUIN POLICE DEPARTMENT,KANE
ALGONQUIN POLICE DEPT,ALGONQUIN POLICE DEPARTMENT,MCHENRY,ALGONQUIN PD (MCA),ALGONQUIN POLICE DEPARTMENT,MCHENRY
ALHAMBRA PD,ALHAMBRA POLICE DEPARTMENT,MADISON,,,
ALMA POLICE DEPT,ALMA POLICE DEPARTMENT,MARION,,,
ALORTON POLICE DEPT,ALORTON POLICE DEPARTMENT,ST CLAIR,,,
ALPHA POLICE DEPT,ALPHA POLICE DEPARTMENT,HENRY,,,
ALSIP PARK DISTRICT PD ALSIP,ALSIP PARK DISTRICT POLICE DEPARTMENT ALSIP,COOK,,,
ALSIP POLICE DEPT,ALSIP POLICE DEPARTMENT,COOK,ALSIP PD,ALSIP POLICE DEPARTMENT,COOK
ALTAMONT POLICE DEPT,ALTAMONT POLICE DEPARTMENT,EFFINGHAM,ALTAMONT PD,ALTAMONT POLICE DEPARTMENT,EFFINGHAM
ALTO PASS POLICE DEPARTMENT ALTO PASS,ALTO PASS POLICE DEPARTMENT ALTO PASS,UNION,,,
ALTON & SOUTHERN RAILWAY,ALTON & SOUTHERN RAILWAY,ST CLAIR COUNTY,ALTON AND SOUTHERN RAILWAY PD,ALTON AND SOUTHERN RAILWAY POLICE DEPARTMENT,ST. CLAIR
ALTON POLICE DEPT,ALTON POLICE DEPARTMENT,MADISON,ALTON PD,ALTON POLICE DEPARTMENT,MADISON
ALTONA POLICE DEPT,ALTONA POLICE DEPARTMENT,KNOX,,,
ALVIN PD,ALVIN POLICE DEPARTMENT,VERMILION,,,
AMBOY POLICE DEPT,AMBOY POLICE DEPARTMENT,LEE,AMBOY PD,AMBOY POLICE DEPARTMENT,LEE
ANDALUSIA PD,ANDALUSIA POLICE DEPARTMENT,ROCK ISLAND,,,
ANNA POLICE DEPT,ANNA POLICE DEPARTMENT,UNION,ANNA PD,ANNA POLICE DEPARTMENT,UNION
ANNAWAN POLICE DEPT,ANNAWAN POLICE DEPARTMENT,HENRY,ANNAWAN PD,ANNAWAN POLICE DEPARTMENT,HENRY
ANTIOCH POLICE DEPT,ANTIOCH POLICE DEPARTMENT,LAKE,ANTIOCH PD,ANTIOCH POLICE DEPARTMENT,LAKE
APPLE RIVER PD,APPLE RIVER POLICE DEPARTMENT,JO DAVIESS,,,
ARCOLA POLICE DEPT,ARCOLA POLICE DEPARTMENT,DOUGLAS,ARCOLA PD,ARCOLA POLICE DEPARTMENT,DOUGLAS
ARENZVILLE PD,ARENZVILLE POLICE DEPARTMENT,CASS,,,
ARGENTA PD,ARGENTA POLICE DEPARTMENT,MACON,,,
ARLINGTON HEIGHTS POLICE DEPARTMENT,ARLINGTON HEIGHTS POLICE DEPARTMENT,COOK,ARLINGTON HEIGHTS PD,ARLINGTON HEIGHTS POLICE DEPARTMENT,COOK
ARLINGTON PD,ARLINGTON POLICE DEPARTMENT,BUREAU,,,
ARMINGTON PD,ARMINGTON POLICE DEPARTMENT,TAZEWELL,,,
AROMA PARK POLICE DEPT,AROMA PARK POLICE DEPARTMENT,KANKAKEE,,,
ARSON INVESTIGATION CHAMPAIGN FIRE DEPARTMENT,ARSON INVESTIGATION CHAMPAIGN FIRE DEPARTMENT,CHAMPAIGN,,,
ARSON INVESTIGATION FIRE DEPARTMENT CHARLESTON,ARSON INVESTIGATION FIRE DEPARTMENT CHARLESTON,COLES,,,
ARSON INVESTIGATIONS CHICAGO FIRE DEPT CHICAGO,ARSON INVESTIGATIONS CHICAGO FIRE DEPARTMENT CHICAGO,COOK,CHICAGO FIRE DEPARTMENT,CHICAGO FIRE DEPARTMENT,COOK
ARTHUR POLICE DEPT,ARTHUR POLICE DEPARTMENT,DOUGLAS,ARTHUR PD (MCA),ARTHUR POLICE DEPARTMENT,DOUGLAS
ARTHUR POLICE DEPT,ARTHUR POLICE DEPARTMENT,DOUGLAS,ARTHUR PD (MCA),ARTHUR POLICE DEPARTMENT,MOULTRIE
ASHKUM POLICE DEPT,ASHKUM POLICE DEPARTMENT,IROQUOIS,,,
ASHLAND POLICE DEPT,ASHLAND POLICE DEPARTMENT,CASS,ASHLAND PD,ASHLAND POLICE DEPARTMENT,CASS
ASHLEY PD,ASHLEY POLICE DEPARTMENT,WASHINGTON,,,
ASHTON POLICE DEPT,ASHTON POLICE DEPARTMENT,LEE,,,
ASSUMPTION POLICE DEPT,ASSUMPTION POLICE DEPARTMENT,CHRISTIAN,,,
ASTORIA POLICE DEPT,ASTORIA POLICE DEPARTMENT,FULTON,,,
ATHENS POLICE DEPT,ATHENS POLICE DEPARTMENT,MENARD,ATHENS PD,ATHENS POLICE DEPARTMENT,MENARD
ATKINSON POLICE DEPT,ATKINSON POLICE DEPARTMENT,HENRY,,,
ATLANTA POLICE DEPT,ATLANTA POLICE DEPARTMENT,LOGAN,,,
ATWOOD POLICE DEPT,ATWOOD POLICE DEPARTMENT,PIATT,ATWOOD PD (MCA),ATWOOD POLICE DEPARTMENT,DOUGLAS
ATWOOD POLICE DEPT,ATWOOD POLICE DEPARTMENT,PIATT,ATWOOD PD (MCA),ATWOOD POLICE DEPARTMENT,PIATT
AUBURN POLICE DEPT,AUBURN POLICE DEPARTMENT,SANGAMON,AUBURN PD,AUBURN POLICE DEPARTMENT,SANGAMON
AUGUSTA PD,AUGUSTA POLICE DEPARTMENT,HANCOCK,,,
AURORA POLICE DEPT,AURORA POLICE DEPARTMENT,KANE,AURORA PD (MCA),AURORA POLICE DEPARTMENT,DUPAGE
AURORA POLICE DEPT,AURORA POLICE DEPARTMENT,KANE,AURORA PD (MCA),AURORA POLICE DEPARTMENT,KANE
AURORA POLICE DEPT,AURORA POLICE DEPARTMENT,KANE,AURORA PD (MCA),AURORA POLICE DEPARTMENT,KENDALL
AURORA POLICE DEPT,AURORA POLICE DEPARTMENT,KANE,AURORA PD (MCA),AURORA POLICE DEPARTMENT,WILL
AURORA UNIVERSITY POLICE DEPT,AURORA UNIVERSITY POLICE DEPARTMENT,KANE,,,
AVA POLICE DEPT,AVA POLICE DEPARTMENT,JACKSON,,,
AVISTON POLICE DEPT,AVISTON POLICE DEPARTMENT,CLINTON,AVISTON PD,AVISTON POLICE DEPARTMENT,CLINTON
AVON POLICE DEPT,AVON POLICE DEPARTMENT,FULTON,,,
BALDWIN POLICE DEPT,BALDWIN POLICE DEPARTMENT,RANDOLPH,,,
BANNER PD CANTON,BANNER POLICE DEPARTMENT CANTON,FULTON,,,
BANNOCKBURN POLICE DEPT,BANNOCKBURN POLICE DEPARTMENT,LAKE,BANNOCKBURN PD,BANNOCKBURN POLICE DEPARTMENT,LAKE
BARRINGTON HILLS POLICE DEPT,BARRINGTON HILLS POLICE DEPARTMENT,COOK,BARRINGTON HILLS PD (MCA),BARRINGTON HILLS POLICE DEPARTMENT,COOK
BARRINGTON HILLS POLICE DEPT,BARRINGTON HILLS POLICE DEPARTMENT,COOK,BARRINGTON HILLS PD (MCA),BARRINGTON HILLS POLICE DEPARTMENT,KANE
BARRINGTON HILLS POLICE DEPT,BARRINGTON HILLS POLICE DEPARTMENT,COOK,BARRINGTON HILLS PD (MCA),BARRINGTON HILLS POLICE DEPARTMENT,LAKE
BARRINGTON HILLS POLICE DEPT,BARRINGTON HILLS POLICE DEPARTMENT,COOK,BARRINGTON HILLS PD (MCA),BARRINGTON HILLS POLICE DEPARTMENT,MCHENRY
BARRINGTON POLICE DEPARTMENT,BARRINGTON POLICE DEPARTMENT,COOK,BARRINGTON PD (MCA),BARRINGTON POLICE DEPARTMENT,COOK
BARRY PD,BARRY POLICE DEPARTMENT,PIKE,BARRY PD,BARRY POLICE DEPARTMENT,PIKE
BARTELSO,BARTELSO,CLINTON,,,
BARTLETT POLICE DEPT,BARTLETT POLICE DEPARTMENT,COOK,BARTLETT PD (MCA),BARTLETT POLICE DEPARTMENT,COOK
BARTLETT POLICE DEPT,BARTLETT POLICE DEPARTMENT,COOK,BARTLETT PD (MCA),BARTLETT POLICE DEPARTMENT,DUPAGE
BARTLETT POLICE DEPT,BARTLETT POLICE DEPARTMENT,COOK,BARTLETT PD (MCA),BARTLETT POLICE DEPARTMENT,KANE
BARTONVILLE POLICE DEPT,BARTONVILLE POLICE DEPARTMENT,PEORIA,BARTONVILLE PD,BARTONVILLE POLICE DEPARTMENT,PEORIA
BATAVIA POLICE DEPT,BATAVIA POLICE DEPARTMENT,KANE,BATAVIA PD,BATAVIA POLICE DEPARTMENT,KANE
BATH POLICE DEPT,BATH POLICE DEPARTMENT,MASON,,,
BAYLIS POLICE DEPARTMENT,BAYLIS POLICE DEPARTMENT,PIKE,,,
BAYVIEW GARDENS POLICE DEPT,BAYVIEW GARDENS POLICE DEPARTMENT,TAZEWELL,,,
